"graph_name","weight_method","component_mode","baseline_class","n_thresholds_evaluated","n_distinct_predictions","classes_seen","prop_matching_baseline","stable","n_unclassifiable"
"insecta-ant-colony4-day17","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day18","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony4-day19","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony4-day20","adjacency","full_network","ER",10,3,"ER, SF, Spatial",0.1,FALSE,0
"insecta-ant-colony4-day21","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day22","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
"insecta-ant-colony4-day23","adjacency","full_network","SF",10,2,"SF, Spatial",0.5,FALSE,1
"insecta-ant-colony4-day24","adjacency","full_network","SF",10,2,"SF, Spatial",0.3,FALSE,1
"insecta-ant-colony4-day25","adjacency","full_network","SF",10,2,"SF, Spatial",0.4,FALSE,0
"insecta-ant-colony4-day26","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony4-day27","adjacency","full_network","SF",10,2,"SF, Spatial",0.6,FALSE,0
"insecta-ant-colony4-day28","adjacency","full_network","Spatial",10,1,"Spatial",1,TRUE,0
"insecta-ant-colony4-day29","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony4-day30","adjacency","full_network","SF",10,2,"SF, Spatial",0.1,FALSE,0
"insecta-ant-colony4-day31","adjacency","full_network","SF",10,2,"SF, Spatial",0.4,FALSE,0
"insecta-ant-colony4-day32","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony4-day33","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony4-day34","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
"insecta-ant-colony4-day35","adjacency","full_network","SF",10,2,"SF, Spatial",0.3,FALSE,0
"insecta-ant-colony4-day36","adjacency","full_network","Spatial",10,1,"Spatial",1,TRUE,0
"insecta-ant-colony4-day37","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony4-day38","adjacency","full_network","Spatial",10,1,"Spatial",0.9,TRUE,1
"insecta-ant-colony4-day39","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony4-day40","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.9,FALSE,0
"insecta-ant-colony4-day41","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony5","adjacency","full_network","ER",7,2,"ER, Spatial",0.428571428571429,FALSE,1
"insecta-ant-colony5-day01","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony5-day02","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
"insecta-ant-colony5-day03","adjacency","full_network","Spatial",10,1,"Spatial",0.1,TRUE,9
"insecta-ant-colony5-day04","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony5-day05","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony5-day06","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony5-day07","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony5-day08","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,3
"insecta-ant-colony5-day09","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony5-day10","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony5-day11","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony5-day12","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony5-day13","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony5-day14","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony5-day15","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony5-day16","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony5-day17","adjacency","full_network","Spatial",10,1,"Spatial",0.3,TRUE,7
"insecta-ant-colony5-day18","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony5-day19","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony5-day20","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony5-day21","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony5-day22","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
"insecta-ant-colony5-day23","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony5-day24","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony5-day25","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,2
"insecta-ant-colony5-day26","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,7
"insecta-ant-colony5-day27","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,7
"insecta-ant-colony5-day28","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony5-day29","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony5-day30","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,5
"insecta-ant-colony5-day31","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,6
"insecta-ant-colony5-day32","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,0
"insecta-ant-colony5-day33","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,8
"insecta-ant-colony5-day34","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,6
"insecta-ant-colony5-day35","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.4,FALSE,1
"insecta-ant-colony5-day36","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,2
"insecta-ant-colony5-day37","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,4
"insecta-ant-colony5-day38","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,1
"insecta-ant-colony5-day39","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,8
