"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"insecta-ant-colony2-day35","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day35","Geometric Graphs"
"insecta-ant-colony2-day36","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day36","Geometric Graphs"
"insecta-ant-colony2-day37","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day37","Geometric Graphs"
"insecta-ant-colony2-day38","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day38","Geometric Graphs"
"insecta-ant-colony2-day39","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day39","Geometric Graphs"
"insecta-ant-colony2-day40","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day40","Geometric Graphs"
"insecta-ant-colony2-day41","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony2-day41","Geometric Graphs"
"insecta-ant-colony2","Yes","Physical_contact","video","Camponotus_fellah",41,"Insecta","insecta-ant-colony2","Erdos-Renyi"
"insecta-ant-colony3-day01","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day01","Erdos-Renyi"
"insecta-ant-colony3-day02","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day02","Geometric Graphs"
"insecta-ant-colony3-day03","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day03","Geometric Graphs"
"insecta-ant-colony3-day04","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day04","Geometric Graphs"
"insecta-ant-colony3-day05","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day05","Geometric Graphs"
"insecta-ant-colony3-day06","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day06","Geometric Graphs"
"insecta-ant-colony3-day07","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day07","Geometric Graphs"
"insecta-ant-colony3-day08","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day08","Geometric Graphs"
"insecta-ant-colony3-day09","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day09","Geometric Graphs"
"insecta-ant-colony3-day10","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day10","Geometric Graphs"
"insecta-ant-colony3-day11","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day11","Geometric Graphs"
