,GraphNames,order,edges,connected,max_component,minDegree,maxDegree,mean_degree,minCut,FiedlerValue,Normalized_FiedlerValue,closeness_centr,modularity,diameter,betw_centr,transitivity,threshold,spectral_radius,eigen_centr,deg_centr,mean_eccentr,radius,mean_path_length,graph_energy,min_triangle,mean_triangle,sd_triangle,max_triangle,num_triangle,deg_assort_coef
775,mammalia-voles-rob-trapping-54,6,8,1,6,2,4,2.666666667,2,0.763932023,0.341592699,0.129100529,0.25,3,0.54,0.6,0.351835707,2.842235679,0.384932583,0.266666667,2.5,2,1.6,8.698355191,1,1.5,0.547722558,2,9,-0.230769231
776,mammalia-voles-rob-trapping-55,10,19,1,10,1,7,3.8,1,0.762101785,0.358150625,0.067723388,0.112188366,3,0.410493827,0.625,0.212364069,4.708894519,0.434537776,0.355555556,2.5,2,1.711111111,15.48845868,0,4.5,3.566822427,8,45,-0.242173112
777,mammalia-voles-rob-trapping-56,8,11,1,8,1,4,2.75,1,0.354248689,0.143339071,0.076264881,0.392561983,3,0.585034014,0.652173913,0.317886276,3.145779094,0.532484385,0.178571429,2.75,2,1.928571429,11.27542678,0,1.875,1.246423455,3,15,-0.264367816
778,mammalia-voles-rob-trapping-57,12,13,1,12,1,5,2.166666667,1,0.198062264,0.133974596,0.034580524,0.417159763,6,0.659504132,0.260869565,0.352484258,2.837006129,0.666084221,0.257575758,4.583333333,3,2.772727273,14.59009998,0,0.5,0.674199862,2,6,-0.193037975
779,mammalia-voles-rob-trapping-58,11,19,1,11,1,8,3.454545455,1,0.659603508,0.26470479,0.057319435,0.288088643,3,0.56,0.608695652,0.224786611,4.448663541,0.578577982,0.454545455,2.545454545,2,1.818181818,16.10742836,0,3.818181818,3.027149875,9,42,-0.322067594
780,mammalia-voles-rob-trapping-59,24,33,1,24,1,6,2.75,1,0.050985155,0.020402441,0.010721867,0.579889807,9,0.373603712,0.341772152,0.276594864,3.615396122,0.746733599,0.141304348,7.458333333,5,4.224637681,33.42158275,0,1.125,0.850191794,3,27,-0.142789374
781,mammalia-voles-rob-trapping-60,27,39,1,27,1,5,2.888888889,1,0.05301277,0.021859702,0.008641432,0.629848784,12,0.374674556,0.461538462,0.268738882,3.721084169,0.742349651,0.081196581,9.148148148,6,4.672364672,39.60748402,0,1.555555556,1.219499687,4,42,0.164285714
782,mammalia-voles-rob-trapping-61,53,79,1,53,1,7,2.981132075,1,0.016342687,0.005873491,0.002714751,0.753725365,18,0.470805778,0.463768116,0.231344986,4.322548828,0.876468997,0.077285922,14.11320755,9,7.403483309,75.81265592,0,1.811320755,1.765661826,7,96,0.058732829
783,mammalia-voles-rob-trapping-62,17,21,1,17,1,4,2.470588235,1,0.061630019,0.025313431,0.015306801,0.572562358,10,0.335416667,0.428571429,0.364148576,2.746131839,0.683137527,0.095588235,8,5,4.264705882,23.52664378,0,0.882352941,0.696630546,2,15,-0.034482759
784,mammalia-voles-rob-trapping-63,18,28,1,18,1,5,3.111111111,1,0.259423413,0.09765623,0.022497132,0.411352041,5,0.38300173,0.405405405,0.268469389,3.724819439,0.56879764,0.111111111,4.166666667,3,2.692810458,27.11138513,0,1.666666667,1.328422328,4,30,-0.128289474
785,mammalia-voles-rob-trapping-64,10,10,1,10,1,3,2,1,0.159205915,0.095684628,0.040290864,0.355,6,0.416666667,0,0.422513788,2.366786668,0.573010672,0.111111111,5,3,2.888888889,11.71391882,0,0,0,0,0,-0.176470588
786,mammalia-voles-rob-trapping,1430,3898,1,1430,1,34,5.451748252,1,0.001288873,0.000235136,9.22E-05,0.755554709,18,0.484187078,0.28093904,0.087612855,11.41385023,0.969945889,0.019977783,14.30769231,9,7.731774873,2494.789141,0,6.100699301,7.504768687,66,8724,0.011651302
787,mammalia-zebra-interaction,23,105,1,23,2,14,9.130434783,2,0.519981057,0.12587833,0.025379226,0.190430839,4,0.270263552,0.843065693,0.081398102,12.28529879,0.427789503,0.221343874,3.173913043,2,1.861660079,42.65066683,1,40.17391304,31.10488441,72,924,0.613789753
788,reptilia-lizard-network-social,60,318,1,60,2,23,10.6,2,0.579492046,0.072799143,0.006749675,0.436820142,7,0.089528271,0.535356347,0.074499518,13.42290556,0.672037782,0.210169492,4.983333333,4,2.58700565,137.8111159,1,32.05,23.10875174,101,1923,0.350034505
